,Mask #,Mask Name,# Cells,Cell,Area,Length
0,1,1003_nD_Snap1_BF_FC_HA1_NLS_woFBS_PB_cp_masks.png,3,1,8903,150.65523555456014
1,1,1003_nD_Snap1_BF_FC_HA1_NLS_woFBS_PB_cp_masks.png,3,2,16452,213.55093069335942
2,1,1003_nD_Snap1_BF_FC_HA1_NLS_woFBS_PB_cp_masks.png,3,3,8304,562.1103094589175
3,2,1003_nD_Snap2_BF_FC_HA1_NLS_woFBS_PB_cp_masks.png,3,1,15216,257.41017850893155
4,2,1003_nD_Snap2_BF_FC_HA1_NLS_woFBS_PB_cp_masks.png,3,2,15500,218.28879952943075
5,2,1003_nD_Snap2_BF_FC_HA1_NLS_woFBS_PB_cp_masks.png,3,3,11641,562.1103094589175
6,3,1003_nD_Snap3_BF_FC_HA1_NLS_woFBS_PB_cp_masks.png,2,1,10168,174.3158053648607
7,3,1003_nD_Snap3_BF_FC_HA1_NLS_woFBS_PB_cp_masks.png,2,2,16447,562.1103094589175
8,4,1003_nD_Snap4_BF_FC_HA1_NLS_woFBS_PB_cp_masks.png,2,1,12023,191.73158320944412
9,4,1003_nD_Snap4_BF_FC_HA1_NLS_woFBS_PB_cp_masks.png,2,2,11405,562.1103094589175
10,5,1003_nD_Snap5_BF_FC_HA1_NLS_woFBS_PB_cp_masks.png,4,1,9631,161.48374531202822
11,5,1003_nD_Snap5_BF_FC_HA1_NLS_woFBS_PB_cp_masks.png,4,2,8348,149.24141516348604
12,5,1003_nD_Snap5_BF_FC_HA1_NLS_woFBS_PB_cp_masks.png,4,3,10660,168.37161280928564
13,5,1003_nD_Snap5_BF_FC_HA1_NLS_woFBS_PB_cp_masks.png,4,4,6830,562.1103094589175
14,6,1003_nD_Snap6_BF_FC_HA1_NLS_woFBS_PB_cp_masks.png,4,1,8680,155.21919984331836
15,6,1003_nD_Snap6_BF_FC_HA1_NLS_woFBS_PB_cp_masks.png,4,2,6894,142.42541907960108
16,6,1003_nD_Snap6_BF_FC_HA1_NLS_woFBS_PB_cp_masks.png,4,3,8954,158.11388300841898
17,6,1003_nD_Snap6_BF_FC_HA1_NLS_woFBS_PB_cp_masks.png,4,4,10622,562.1103094589175
18,7,1003_nD_Snap7_BF_FC_HA1_NLS_woFBS_PB_cp_masks.png,5,1,10106,159.17600321656528
19,7,1003_nD_Snap7_BF_FC_HA1_NLS_woFBS_PB_cp_masks.png,5,2,6748,149.00335566691106
20,7,1003_nD_Snap7_BF_FC_HA1_NLS_woFBS_PB_cp_masks.png,5,3,7078,134.5362404707371
21,7,1003_nD_Snap7_BF_FC_HA1_NLS_woFBS_PB_cp_masks.png,5,4,9271,155.24174696260025
22,7,1003_nD_Snap7_BF_FC_HA1_NLS_woFBS_PB_cp_masks.png,5,5,10600,562.1103094589175
