"folder_name","relative_path","parsed_genotype","parsed_date_or_experiment_id","parsed_treatment","replicate","analysis_folder_count","analysis_folders"
"WT-0416-CT","TDP43\WT-0416-CT","WT","0416","CT","WT-0416-CT","1","SF_10ms_condensate_pj_"
"12D-0416-CT","TDP43\12D-0416-CT","12D","0416","CT","12D-0416-CT","1","SF_10ms_condensate_pj_"
"WT-0423-CT","TDP43\WT-0423-CT","WT","0423","CT","WT-0423-CT","1","SF_10ms_condensate_pj_"
"WT-1211-ACTD","TDP43\WT-1211-ACTD","WT","1211","ACTD","WT-1211-ACTD","1","SF_10ms_condensate_pj_"
"12D-0502-CT","TDP43\12D-0502-CT","12D","0502","CT","12D-0502-CT","1","SF_10ms_condensate_pj_"
"WT-0416-ARS","TDP43\WT-0416-ARS","WT","0416","ARS","WT-0416-ARS","1","SF_10ms_condensate_pj_"
"WT-0423-ARS","TDP43\WT-0423-ARS","WT","0423","ARS","WT-0423-ARS","1","SF_10ms_condensate_pj_"
"WT-0515-ARS","TDP43\WT-0515-ARS","WT","0515","ARS","WT-0515-ARS","0",""
"WT-0515-CT","TDP43\WT-0515-CT","WT","0515","CT","WT-0515-CT","0",""
"12D-0423-CT","TDP43\12D-0423-CT","12D","0423","CT","12D-0423-CT","1","SF_10ms_condensate_pj_"
"12D-0416-ARS","TDP43\12D-0416-ARS","12D","0416","ARS","12D-0416-ARS","1","SF_10ms_condensate_pj_"
"12D-0423-ARS","TDP43\12D-0423-ARS","12D","0423","ARS","12D-0423-ARS","1","SF_10ms_condensate_pj_"
"12D-0515-ars","TDP43\12D-0515-ars","12D","0515","ARS","12D-0515-ars","1","SF_10ms_condensate_pj_"
