repeat,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,roc_auc
1,0.8089887640449438,0.8089887640449438,0.809340242669363,0.8089887640449438,0.8089344909234413,0.880886251735892
2,0.797752808988764,0.797752808988764,0.7980915065722952,0.797752808988764,0.7976953433307024,0.8734219164246939
3,0.8314606741573034,0.8314606741573034,0.8316281419729695,0.8314606741573034,0.831439393939394,0.8897866431006186
4,0.851123595505618,0.851123595505618,0.8536348898566388,0.851123595505618,0.8508588186007541,0.9130949375078904
5,0.8146067415730337,0.8146067415730337,0.8160431198478123,0.8146067415730337,0.8143958543983822,0.8831271304128265
6,0.8623595505617978,0.8623595505617978,0.8632882954149923,0.8623595505617978,0.8622715250088824,0.9199911627319785
7,0.800561797752809,0.800561797752809,0.8021735681421545,0.800561797752809,0.8002954956663269,0.8658155535917182
8,0.8426966292134831,0.8426966292134832,0.8437816616008106,0.8426966292134832,0.8425724122682334,0.8956728948365105
9,0.848314606741573,0.848314606741573,0.8494174265450861,0.848314606741573,0.8481948261157964,0.8984345410932963
10,0.8567415730337079,0.8567415730337078,0.8581091784684599,0.8567415730337078,0.8566046676934012,0.9127161974498168
11,0.8567415730337079,0.8567415730337078,0.8568429360694554,0.8567415730337078,0.856731398991533,0.9130949375078903
12,0.8146067415730337,0.8146067415730337,0.8147656940760389,0.8146067415730337,0.8145833333333333,0.883458527963641
13,0.8230337078651685,0.8230337078651686,0.8242720907391565,0.8230337078651686,0.8228645895036133,0.8925325085216511
14,0.8342696629213483,0.8342696629213483,0.8355511199822576,0.8342696629213483,0.8341112822335426,0.8790872364600429
15,0.848314606741573,0.848314606741573,0.8494174265450861,0.848314606741573,0.8481948261157964,0.8862990783991921
16,0.8398876404494382,0.8398876404494382,0.8401560377775672,0.8398876404494382,0.8398560503823662,0.9007069814417371
17,0.8202247191011236,0.8202247191011236,0.8216867469879519,0.8202247191011236,0.8200202224469161,0.883458527963641
18,0.8061797752808989,0.8061797752808989,0.8064215546921887,0.8061797752808989,0.8061415346733907,0.888382148718596
19,0.7865168539325843,0.7865168539325843,0.7894770408163265,0.7865168539325843,0.785969686422175,0.8500504986744097
20,0.8230337078651685,0.8230337078651685,0.8238616587032876,0.8230337078651685,0.8229205321542774,0.8986396919580861
21,0.8342696629213483,0.8342696629213484,0.8366604151435202,0.8342696629213484,0.8339749112725376,0.8898024239363717
22,0.8314606741573034,0.8314606741573034,0.8321315623023403,0.8314606741573034,0.8313755210306935,0.8661785128140385
23,0.8033707865168539,0.803370786516854,0.8047558655675333,0.803370786516854,0.8031471183013145,0.890181163994445
24,0.8455056179775281,0.8455056179775281,0.8456037884767167,0.8455056179775281,0.8454946459712611,0.9166771872238353
25,0.8230337078651685,0.8230337078651685,0.8238616587032876,0.8230337078651685,0.8229205321542774,0.8870881201868452
26,0.848314606741573,0.848314606741573,0.8490196078431373,0.848314606741573,0.848237968927624,0.9020483524807474
27,0.8258426966292135,0.8258426966292135,0.8258426966292135,0.8258426966292135,0.8258426966292135,0.8901969448301982
28,0.8286516853932584,0.8286516853932584,0.8299116053607072,0.8286516853932584,0.8284879358685779,0.8841055422295164
29,0.8398876404494382,0.8398876404494382,0.8430164038859691,0.8398876404494382,0.8395216968374102,0.8916487817194798
30,0.8286516853932584,0.8286516853932584,0.828911210082441,0.8286516853932584,0.8286178784793743,0.8802076757985102
