column,missing_fraction
dataset_name,0.0
protein,0.0
condition,0.0
replicate,0.0
source_file,0.0
source_folder,0.0
track_id,0.0
cell_id,0.0
video_id,0.0
n_frames,0.0
track_length,0.0
is_control,0.0
control_role,0.0
max_trap_dwell_frames,0.7565743666648813
mean_trap_dwell_frames,0.7565743666648813
trap_prob_mean,0.7565743666648813
frac_supported_high_score_windows,0.7565743666648813
max_consecutive_diffusive,0.00026779497616624714
frac_bound,0.00026779497616624714
frac_constrained,0.00026779497616624714
frac_diffusive,0.00026779497616624714
max_consecutive_constrained,0.24369342831128488
max_consecutive_bound,0.24369342831128488
n_state_switches,0.24369342831128488
