class,feature,coefficient
chromatin_bound_control,max_consecutive_diffusive,-0.05834743386952998
chromatin_bound_control,frac_bound,-0.03116914314026567
chromatin_bound_control,frac_constrained,1.0691799988614414
chromatin_bound_control,frac_diffusive,0.39760908591740296
chromatin_bound_control,max_consecutive_constrained,0.8431740319173159
chromatin_bound_control,max_consecutive_bound,0.028827150166882285
chromatin_bound_control,n_state_switches,2.6572146887451207
free_like_control,max_consecutive_diffusive,0.5201150070077073
free_like_control,frac_bound,-1.5589188979373951
free_like_control,frac_constrained,0.3204671021240646
free_like_control,frac_diffusive,0.12707414980792114
free_like_control,max_consecutive_constrained,0.9050614270563518
free_like_control,max_consecutive_bound,0.014179597442326216
free_like_control,n_state_switches,2.756586498952513
mcm_bound_control,max_consecutive_diffusive,-0.4617675731341339
mcm_bound_control,frac_bound,1.590088041078449
mcm_bound_control,frac_constrained,-1.389647100982416
mcm_bound_control,frac_diffusive,-0.5246832357223189
mcm_bound_control,max_consecutive_constrained,-1.7482354589722449
mcm_bound_control,max_consecutive_bound,-0.04300674760574975
mcm_bound_control,n_state_switches,-5.413801187698491
